MIP_SEC,VBP_SEC,ZIP_SEC
s1,w1,z1
s2,w2,z1
s3,w3,z1
s4,w4,z2
s5,w5,z2
s6,w6,z4
s7,w7,z4
s8,w8,z3
s9,w9,z5
s10,w10,z5
s11,w11,z2
s12,w12,z2
s13,w13,z4
s14,w13,z4
