SECTOR,s1,s2,s3,s4,s5,s6,s7,s8,s9,t1,t2,t3,t4,t5
s1,0.08800209024057963,0.002778253458452722,4.644823066336361e-05,0.10978120235774898,0.0,0.00029936012914290436,0.0,0.0011768379288623059,2.9760065009878133e-05,0.0,2.0588577981062017e-06,0.00019572228635637826,7.058183979159466e-05,0.0018835349573174355
s2,1.7854468062049104e-06,0.02332570834169054,0.0,0.0018056275815466712,0.0,0.0,0.0,1.0907164577500639e-05,0.0,0.0,0.0,0.0,1.2965241624742374e-06,0.0
s3,0.00013271483074279343,1.1330557664756446e-05,0.04347423866692075,0.04287221243546443,0.13957348958694898,0.15805545303330854,0.0,0.0,0.0005521406742562057,0.0,1.2944363072218723e-05,0.00016638690659806417,5.416960193043767e-05,4.752891287211076e-05
s4,0.17688838932408585,0.18132471966332378,0.06933317991064811,0.2857754727648748,0.053359706829225965,0.2558205451896851,0.034700386042915136,0.37434227347925686,0.11137214541400152,0.02660261777733785,0.03720725349144965,0.058271301732805016,0.06930191538333526,0.12302181647487573
s5,0.00268626992754745,0.0012180951092406877,0.01578367187321349,0.007870772167750319,0.2282464878514405,0.002351184781800149,0.01058658927658569,0.018936458838126752,0.0057390447831700015,0.005655243121922248,0.009008726537586885,0.020204685335225816,0.005252260118796165,0.016625249785101704
s6,0.010914403864135988,3.7667048710601715e-07,0.03632665430138262,0.0015051755870814797,0.0006424815489413397,0.0,7.99380882574049e-06,0.04637655962076864,0.0032410348052735556,0.0,0.0606447801446687,0.01608575131783863,0.009135865546551967,0.007551313715858899
s7,0.0173786985014088,0.02907763081661891,0.002154651881259396,0.020817557736084867,0.0011490877941686916,0.039107036748904866,0.01226806871147196,0.016641999051921607,0.013648223304579151,0.0018872357348246765,0.0010632651263602843,0.0039048046424980777,0.0032714589474762217,0.01104617585414645
s8,0.0020437133263151376,0.015929465827363896,0.0,0.0069718599609190956,0.00010901197027941686,0.0,0.0008438646434478167,0.0005534943834308984,0.00529165910842478,0.017591790980178663,0.007275742343222026,0.05815530031344255,0.027260169694176686,0.010199092435976154
s9,0.020901627953060657,0.06807859530802293,0.01434666424230875,0.07926777161972494,0.038737152377646654,0.09679902990949665,0.05758130434735914,0.013563544610587936,0.13188926901785888,0.08165360033159288,0.018958689630362444,0.03936949508151477,0.012582446955208213,0.12082525926439423
t1,0.021710334736972474,0.017290387220630372,0.012430981932710835,0.010687381658756257,0.01708022457913919,0.060447904423919334,0.09523045893206177,0.008843761879613133,0.04803537446941689,0.12965351342456263,0.021516312335384737,0.08537622532379206,0.003214100591420562,0.04361145510903365
t2,0.001331037377155773,0.03742709212034384,0.020184047663511825,0.019071976167095665,0.026003441018743495,0.0565724015104554,0.07964725480593682,0.02334261654364979,0.05297071555855486,0.06664372767315829,0.013038384297149026,0.036004171585151894,0.009014570560825429,0.09226391320881776
t3,0.0012978672677028825,0.0049661345272206305,0.0019254550955980435,0.0023547853193673653,0.009253343418083999,0.00021635545045045046,0.0012034754827415855,0.0,0.012134890939498854,0.003468506703620301,0.0008880718939267405,0.0012816728679007237,0.0011394515973475684,0.003576395408900949
t4,0.000526640214725826,0.0006417026858882522,0.02976960873615787,0.0027822528951114154,0.025608705323672334,0.0,0.0006112014720664991,0.004870448062484093,0.0020833578917512662,0.003975897082477543,0.02313670881245744,0.025003670865613975,0.12793068704635355,0.018130134973954725
t5,0.0008694081506022231,5.538707378223495e-05,0.031692751805035044,0.004866490366160301,0.013786742086081221,0.00010082978203777172,0.0005860924583843461,0.0015128232540086537,0.016968417414862196,0.0075150986290861395,0.003299681746816903,0.009149655473416523,0.008106346402191584,0.012452412054110797
