SECTOR,s1,s2,s3,s4,s5,s6,s7,s8,s9,t1,t2,t3,t4,t5
s1,1.0,0.9412261359592673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s2,0.927800750730271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s3,0.8608341655472883,0.8670399819154704,1.0,0.9973950745460481,1.0,0.9863067059696717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s4,0.8065413261645241,0.8123557414884617,0.8755510607944583,1.0,0.9776896602544507,0.9241003092994028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s5,0.7709033832032998,0.7764608819937067,0.8368638444646811,0.8931978633410991,0.9824549731567044,0.8832678893788096,1.0,1.0,1.0,1.0,1.0,0.9784669291556282,0.9759177518604031,1.0
s6,0.8156087160975564,0.821488498897734,0.885394279755422,0.9449951555713916,0.9886811533068631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
s7,0.7041284715221638,0.709204585097532,0.7643755008916343,0.8158299210828248,0.8535447642487711,0.8067600719413303,0.8973556656525227,1.0,1.0,1.0,1.0,0.8937130621978945,0.8913846921950708,0.9562864380076617
s8,0.5645185124263118,0.5685881676105131,0.6128201573295988,0.6540725337337178,0.684309526017819,0.6468009945865802,0.7492049392988903,0.7194338902336795,0.8328920599642482,1.0,1.0,0.7165135182181575,0.7146468020952735,0.7666802569004613
s9,0.633379226580726,0.6379453036823268,0.6875727699597205,0.7338571657524421,0.7677825063134062,0.7256986346508306,0.8405939478654967,1.0,0.8071913868930052,1.0,1.0,0.8039147840397713,0.8018203634173612,0.8602009278016601
t1,0.437600676622691,0.4407553718594746,0.47504290752636996,0.5070207212372936,0.5304596838068072,0.5013840053797404,0.580764990251851,0.7243928337124275,0.6456371597585078,0.5576872152490268,1.0,0.555423415671419,0.5539763838727175,0.5943114207732808
t2,0.39885446594209895,0.401729836916359,0.432981472157046,0.4621278937487649,0.48349151450468275,0.45699026619667077,0.5293426687831567,0.6602533594155604,0.58847090122278,0.8517474130944253,0.5083082551827867,0.5062448978349524,0.5049259896931125,0.541689665942179
t3,0.7362548163463453,0.7415625310878137,0.7992506577841191,0.853052721214642,0.8924883299873531,0.8435690539805584,0.9771260513999207,1.0,1.0,1.0,1.0,0.9382981338392793,0.9320547306193787,0.9999176631329694
t4,0.738177974376571,0.743499553304732,0.8013383661244305,0.8552809649620324,0.8948195827827039,0.8457725256104804,0.9796783848727499,1.0,1.0,1.0,1.0,0.9369302969683397,0.9407490456034883,1.0
t5,0.6880789273198588,0.6930393385589364,0.7469527167195938,0.797234311177041,0.8340895014998546,0.7883711955374457,0.9131890622325898,1.0,1.0,1.0,1.0,0.8733422238125146,0.8710669254845217,0.8769017996272718
