SECTOR,ARG,BAC,ROC
s1,64594,1282,63312
s2,2792,75,2717
s3,47229,4586,42643
s4,403266,62122,341144
s5,23048,4412,18636
s6,96792,13990,82802
s7,93114,24346,68768
s8,31432,12821,18611
s9,102246,34321,67925
s10,40411,21863,18548
s11,77833,45272,32561
s12,50727,11554,39173
s13,78117,17635,60482
s14,50489,14051,36438
